Name,Price,Rating,Hotel Link,Description
Saldanha Guest House,543,8.7,https://www.booking.com/hotel/pt/defensores-de-chaves-guesthouse.es.html?label=gen173bo-1DCAEoggI46AdIClgDaEaIAQGYAQq4ARfIAQ_YAQPoAQH4AQOIAgGYAgKoAgO4Avfl8rwGwAIB0gIkMGU0YTA1MDEtNzU5YS00YWE1LWJjZWItNDViZmY5MzVjNGIz2AIE4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2025-05-22&checkout=2025-05-26&dest_id=-2167973&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=4e3b503f601a0806&srepoch=1738322787&all_sr_blocks=162820617_89199844_2_0_0&highlighted_blocks=162820617_89199844_2_0_0&matching_block_id=162820617_89199844_2_0_0&sr_pri_blocks=162820617_89199844_2_0_0__54320&from=searchresults,"Saldanha Guest House ofrece alojamiento con aire acondicionado en el centro de Lisboa, a 2,7 km de Miradouro da Senhora do Monte, a 3,2 km de Plaza Rossio y a 3,3 km de Teatro Nacional Doña María II. Hay wifi gratis en todo el alojamiento.

Algunas unidades tienen TV de pantalla plana por cable, cocina totalmente equipada con nevera y baño privado con ducha y secador de pelo.

Plaza del Comercio está a 3,9 km del alojamiento, y Castillo de San Jorge está a 4,1 km. El aeropuerto (Aeropuerto de Lisboa Humberto Delgado) está a 7 km."
Locke de Santa Joana,1081,8.8,https://www.booking.com/hotel/pt/locke-de-santa-joana.es.html?label=gen173bo-1DCAEoggI46AdIClgDaEaIAQGYAQq4ARfIAQ_YAQPoAQH4AQOIAgGYAgKoAgO4Avfl8rwGwAIB0gIkMGU0YTA1MDEtNzU5YS00YWE1LWJjZWItNDViZmY5MzVjNGIz2AIE4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2025-05-22&checkout=2025-05-26&dest_id=-2167973&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&srpvid=4e3b503f601a0806&srepoch=1738322787&all_sr_blocks=1165155502_389182204_0_2_0&highlighted_blocks=1165155502_389182204_0_2_0&matching_block_id=1165155502_389182204_0_2_0&sr_pri_blocks=1165155502_389182204_0_2_0__108100&nad_id=803852ee-cb98-4c46-9831-f372b5982413_0&nad_cpc=0.5&nad_track=eyJhdWN0aW9uRXBvY2giOjE3MzgzMjI2ODc5NDUsInJhbmsiOjEsImtvZGRpVHJhY2tpbmdJbmZvIjoiWS83dWp0QUZDWFEra2V0Z0owYXNSWVZGSnh1NkNjaVdqd1pWNTlGdFJObjFpQTdhV3V3NFZlR2NYYXAvOTk3ZDVzdmxzNzhjbDFaVjJ2L042elBOKzJJdTljSFRTMFk2bW9Za0RGZGtSSG1ENThDV0JqdUN2RFkvSTZWaWRId3Z0NFc4SnAzcUM3M2FSSDBjVHl1TGpJMG9wN3RsMEtCS3BwY1dYbGg0ZkdGNllhTzZJOVdzTVlrZHJVWlA1WVB3V1ZXVmRUbmwyMGhPcDR1VXlRa0dDelRtV0g4TGNEYkxnUEFyT3pNSVNNYS9JblFYa3FTZGZmSGVOMG1haHZpQ0dTS2hjYkpLSDduTkNHSmVlc0dhcnBnalNDUVZCdnBjd0JObFliVEVoZktnNzZUR25mdGM1NUJUWlZqZ0FtVVA4OFhGcllCbGNuVjNZSGFDRmZaZFhrb0Q1TEUyNk9QTFg1SFd1TSsydStkMVJ0MmpldTdLY1EwWFExampTbFFTTG1FKzFNT0t6WUdLRDlFV1UwYmJDOEU3aEJUMTlCRnpQZHZ5WGdmaVcrSzM1RmlueXRPRW1vcXh6MUs3b2wvUFVsd3pSS2ZJTUp1RldSQ2NlQnlLbUIrM0NOcmE2OC9TZkU4eERMSUhBOHBTL3RoakpmbUpmSEgzcC80NVdZekhMZ2N3eXZ2Z0FpUk13YjYwOStGd09QUXJBUTBBNGxUUVIvNFJWd2taNUFyOWYxUktaYW9KRlFmd2Vuclp6ZVcwM1BjQW1sSTR5Z3RIUmlsMFF0cWpDK0VkbWdzekdHYld5dHBlOFhjeGhXUFZYT0l2dVJVQ096T0ZkamYzZSsyNVJBTHhrNnRobktRVTRDcjRscHFoZjR0c0pWRGxuVkIrVFR6MEtqdjJsVlpZYnZTYVhDY1llcXhiNGppS2dyMGlUek15OWRQZ25QWmZhYng0dEFlTlRBSFhQb09nUlUzd3I0NWFlclpFU2V1MXpxc044V1BMK3lwQ0VjWkFac0EzdHNHUVFlS0RScTZ3a3dQeXAvdGNoY295UkRUS1g1Ni9hVzhCWGIwZ0RoTnpvRE1LazRVSHVYSFl6WkZFd29IcG5sdks2TTJmMjByOVlvd0gxMkgrdFp1ZC9LWTZYblJINjJxQnY3Ymp1anV2c2tuaTFjRm5KUXdtYk14N1U2NDRHUmF0Tm5HcWdXWklOZ3N6OFVSVi9JazNJNE1Hb25CM1AwTU9CNndzK000azAxTWJWVk53RXJkK2xXOFZrK3p1biswSzlUSXRSMk5tZ1BVaGpwM0xLVnBTVWVoUzR3a0J3VFN6ZjY3TFk2d1dtUld1OGlXb0Fnc0tIbDR5S0lma3IyZ0E0WUFabDBDZ1NHTWJGVndsTVJ4MmY3RGdJVHA4cU95dSt6Y1BwbWpyZUpMTHl3aGpheUF0cVBvNW5Na3FXTlZuS1BTeW44d3hJRDBQTG5Jb1cyM0hCemFzVzdpUHRicTZFbHc5L0xMeFNpMWt0Q1BTMWpjOGhMZFQ5UzVTQkhuN0RiODVQQWY0NExHVWc2K2MrTGVjeUtHQUdrMkJsSERHK09oRzh6OXRicjM0T0R1c21vYS8xZnpZeVlSdFlnTUZ5VHBLRk5Jbmlub1NsRkdJYWlvZjdDR1VxbXRadU9WMWp6RklTUTk1UEd3UTBUNVRRYk9EM2M1MEtHOXFWU0J6cUFjbDNQSDNmRE1yYkJIT0xyVWo5bE5xZzVKWmlBUVN1Vnl2aU1jZWxzWitiaitkMlplNkp4L0QxMFF4OW51emFJbjJ1WnpFWUFWQkZRS2ZMSG9LTi84L0ZoK0wxRlRkTlZtZEk2UjFON1RFQlRzTDJQMnRFQVFiV2wra3lSUVREMnBFRGR6cFJoZ2h4Sml4OEVRY2NwYzBheXVJM3JxY09OY3hDdzBHUW5VZzJKekhkV1EraU93SVcwUlpNSFYxQkRyMDF1aFplTDU5U3BhVnZFdTZJNitKQ3RjY1VsRTZVK05vSytkVFdvMmlBN0I1Qml6Z2FHY2xGaXczN3RIRUxBazdzZTJTWVlUSlp0UG5UejFGRHNiN2RlcldVaXIwU2dRSWU5UXF5VlNCVU1FbG9XT2o1YkJoM1g3Q1ZwZjRvUk1GTHc2bUFVaXZkUWs5RWdWVU9Ucm8zNFY0NUN1bmh1bWlMOUVuOVEzcytXRUtaREFYNE1pSDJoRXYvblVSL09YMVFPT2M4WXE4dElYVDBBRlMvekUzVE02d09iSzI0cWpoMGNnN0dtSXRsNk1kMWh0VWNBdVFseWM0cUFoZ1Y5OUdUOWtxM3NuaTQxL2xuYUh1M0FEd0VCRk4yd1JXWUpKY0lqV0llMEpTKzVhRzJQQmk3eEZ5YjJ4WUNrOXFtVncyRDVzOWpkeVVGTDc2Y0ZDWmxQM3JuRnEwNHhUNDlZdStCajFEWnlrREduTktnSDhWR0x6REIzYTdadlVYb1AyaFgxT0FXNjB1eGRXMTdBblNqYlZqQ1BwRmpQWU1rWkg2Sm5yNkU4RW9NMVhtU1JoN2lQMU12WTZDZXpkanYvNWh3aEJ3SzBOTWhiSzh6TnhPRnZwaFBYdzF4RHN3ZFFDQ2dVeXl2YWJWTG1IVDYxRXc1OCtwc3BOTndPZkFkL1ljMnFIbnA1bXROeEZTMzlTS0hIdWJ6bmdQdklJVXY1b2JhRjZlS2pGMVowa2dLcDcxNmc5bSt4OGsyRUNUUS9KRDRUNCtobXZJVVhtY2RPazZFanY4bWdMQ01mNE1XSkhjUXhrbFNpV0ZnYVhiaDFNOG9QRjlOcU9VQzU2ekUxUE1YdHEwMzg1U3EzOWFOZXhsWGxMWHJFL0hKRlc5enRGOGJnTkFiTkRnWnNJTk9JT1Z2enF6emhiZDZES2U2b1Z5N09uS1daa0dzN2VsZHNQNWxmRGY0WGxWK0VyNVZRZ1Q1TjFDZE1FR3FMSG0yRnZ0K3A2YVRiRlNmTnpxSkxaenAyTGdiNWkyMmtzUWtYenZNczZ3T1AwQmluQ2xHTkQ0MUJUc2RGeXFPaGJHSjRDSy9lN0gzeXNiV2QweTMySkNnN0lMQUliOWxYYjM1azh0YlBaZUxmSGcxMGxoVjljVTEzMVY1NVlHN2xyc1RISG9LckhCUjRXVUZseWNSSjYwaWtWZlNscWVvYXpvYWw1alpRMFY1bXF0TEhmc281VExQUkoxNnNvT1p2OGYzUDhUdmlGOE9KTTdPVjJSZm5qRmx6SmJsT21qTXp2QjNlVHlWUHBIWitqdEJqQUROT2s3L0hpak9YRGZ0SW5QMHJ6VU03VjNEUUV3Q1lsYkxVS1JtN3Y3Q0I2NE1GZU9PVmhka0U4cVYzRFEyVjFKbmRTaTM2eHRhMTJlNFVzUlYySDdyTG5hNXdEbDVSZVBkZUlRdlE4UkFzcTdqTTdMWjhjPSJ9&from=searchresults,"Locke de Santa Joana se encuentra en el centro de Lisboa, a 18 min a pie de Teatro Nacional Doña María II y a 1,6 km de Plaza Rossio. Ofrece alojamiento con wifi gratis, aire acondicionado y acceso a un jardín con piscina al aire libre. Hay parking privado en el propio alojamiento.

El apartahotel ofrece TV de pantalla plana y baño privado con artículos de aseo gratuitos, secador de pelo y ducha. Algunas unidades también tienen una cocina equipada con nevera, lavavajillas y microondas.

En Locke de Santa Joana se puede disfrutar de un desayuno buffet o continental. El alojamiento cuenta con un restaurante que sirve cocina mediterránea, cocina portuguesa y marisco.

Locke de Santa Joana ofrece alojamiento de 4 estrellas con centro de fitness.

Plaza del Comercio está a 2,4 km del alojamiento, y Miradouro da Senhora do Monte está a 2,7 km. El aeropuerto (Aeropuerto de Lisboa Humberto Delgado) está a 8 km."
BOULEVARD Boutique Studios,687,8.7,https://www.booking.com/hotel/pt/boulevard-boutique-studios.es.html?label=gen173bo-1DCAEoggI46AdIClgDaEaIAQGYAQq4ARfIAQ_YAQPoAQH4AQOIAgGYAgKoAgO4Avfl8rwGwAIB0gIkMGU0YTA1MDEtNzU5YS00YWE1LWJjZWItNDViZmY5MzVjNGIz2AIE4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2025-05-22&checkout=2025-05-26&dest_id=-2167973&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=4e3b503f601a0806&srepoch=1738322787&all_sr_blocks=993405009_377040990_2_0_0_47639&highlighted_blocks=993405009_377040990_2_0_0_47639&matching_block_id=993405009_377040990_2_0_0_47639&sr_pri_blocks=993405009_377040990_2_0_0_47639_68680&from=searchresults,"BOULEVARD Boutique Studios se encuentra en Lisboa, a 11 min a pie de Plaza Rossio y a 600 metros del centro, y ofrece alojamiento con aire acondicionado, wifi gratis y bar.

Las unidades disponen de suelo de parquet, zona de cocina totalmente equipada con nevera, zona de comedor, TV de pantalla plana con canales por cable y baño privado con ducha y artículos de aseo gratuitos.

Cerca del alojamiento hay puntos de interés como Teatro Nacional Doña María II, Plaza del Comercio y Miradouro da Senhora do Monte. El aeropuerto (Aeropuerto de Lisboa Humberto Delgado) está a 8 km, y el alojamiento ofrece servicio de traslado de pago para ir o volver del aeropuerto."
Lisbon Serviced Apartments - Liberdade,939,8.6,https://www.booking.com/hotel/pt/lisbon-serviced-apartments.es.html?label=gen173bo-1DCAEoggI46AdIClgDaEaIAQGYAQq4ARfIAQ_YAQPoAQH4AQOIAgGYAgKoAgO4Avfl8rwGwAIB0gIkMGU0YTA1MDEtNzU5YS00YWE1LWJjZWItNDViZmY5MzVjNGIz2AIE4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2025-05-22&checkout=2025-05-26&dest_id=-2167973&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=4e3b503f601a0806&srepoch=1738322787&all_sr_blocks=129899001_123200815_0_0_0&highlighted_blocks=129899001_123200815_0_0_0&matching_block_id=129899001_123200815_0_0_0&sr_pri_blocks=129899001_123200815_0_0_0__93949&from=searchresults,"El Lisbon Serviced Apartments - Avenida da Liberdade está situado en Lisboa y ofrece apartamentos modernos con acceso en ascensor y servicio diario de camarera de pisos. El establecimiento se encuentra a solo 150 metros de la estación de metro de Marques de Pombal y a 400 metros del parque Eduardo VII y la avenida de la Libertad.

Tanto los estudios como los apartamentos están insonorizados y disponen de aire acondicionado, conexión WiFi gratuita y TV con canales vía satélite. El baño es privado e incluye ducha, aseo, secador de pelo y artículos de aseo gratuitos. Además, las habitaciones ofrecen vistas a la ciudad.

La zona de cocina, totalmente equipada, cuenta con lavavajillas. En los alrededores hay varios bares y restaurantes. El supermercado más cercano se encuentra a 90 metros.

El centro comercial Amoreiras está situado a 1 km y el Barrio Alto, a 1,5 km.

Se ofrece aparcamiento privado, previa reserva y por un suplemento. El aeropuerto de Lisboa-Portela está situado a 6 km."
Lisbon Art Stay Apartments Baixa,930,8.9,https://www.booking.com/hotel/pt/lisbon-short-stay-apartments-baixa.es.html?label=gen173bo-1DCAEoggI46AdIClgDaEaIAQGYAQq4ARfIAQ_YAQPoAQH4AQOIAgGYAgKoAgO4Avfl8rwGwAIB0gIkMGU0YTA1MDEtNzU5YS00YWE1LWJjZWItNDViZmY5MzVjNGIz2AIE4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2025-05-22&checkout=2025-05-26&dest_id=-2167973&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=4e3b503f601a0806&srepoch=1738322787&all_sr_blocks=30546009_378334534_2_2_0_682362&highlighted_blocks=30546009_378334534_2_2_0_682362&matching_block_id=30546009_378334534_2_2_0_682362&sr_pri_blocks=30546009_378334534_2_2_0_682362_93013&from=searchresults,"Lisbon Art Stay Apartments Baixa está a 1,5 km del centro de Lisboa y dispone de terraza y bar. Se ofrece wifi gratis en todo el alojamiento.

El alojamiento tiene aire acondicionado, zona de cocina totalmente equipada, TV de pantalla plana y baño privado con ducha, artículos de aseo gratuitos y secador de pelo. También hay nevera, microondas y tostadora, además de cafetera y hervidor.

En el apartamento se puede disfrutar de un desayuno continental.

Lisbon Art Stay Apartments Baixa ofrece servicio de alquiler de coches.

Cerca del alojamiento hay puntos de interés como Plaza del Comercio, Castillo de San Jorge y Plaza Rossio. El aeropuerto (Aeropuerto de Lisboa Humberto Delgado) está a 8 km."
Lisbon Serviced Apartments - Santos,1036,8.3,https://www.booking.com/hotel/pt/lisbon-serviced-apartments-santos.es.html?label=gen173bo-1DCAEoggI46AdIClgDaEaIAQGYAQq4ARfIAQ_YAQPoAQH4AQOIAgGYAgKoAgO4Avfl8rwGwAIB0gIkMGU0YTA1MDEtNzU5YS00YWE1LWJjZWItNDViZmY5MzVjNGIz2AIE4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2025-05-22&checkout=2025-05-26&dest_id=-2167973&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=4e3b503f601a0806&srepoch=1738322787&all_sr_blocks=541746101_194018212_0_0_0&highlighted_blocks=541746101_194018212_0_0_0&matching_block_id=541746101_194018212_0_0_0&sr_pri_blocks=541746101_194018212_0_0_0__103550&from=searchresults,"Lisbon Serviced Apartments - Santos está en Lisboa, cerca de Plaza del Comercio, Plaza Rossio, y Teatro Nacional Doña María II, y ofrece wifi gratis.

El alojamiento tiene aire acondicionado, zona de cocina totalmente equipada, TV de pantalla plana y baño privado con ducha, artículos de aseo gratuitos y secador de pelo. También hay nevera, lavavajillas y horno, además de hervidor.

Castillo de San Jorge está a 3,1 km del alojamiento, y Miradouro da Senhora do Monte está a 4,3 km. El aeropuerto (Aeropuerto de Lisboa Humberto Delgado) está a 10 km, y el alojamiento ofrece servicio de traslado de pago para ir o volver del aeropuerto."
Lisbon Five Stars Apartments Bica,1279,8.5,https://www.booking.com/hotel/pt/apartamentos-joana-champalimaud.es.html?label=gen173bo-1DCAEoggI46AdIClgDaEaIAQGYAQq4ARfIAQ_YAQPoAQH4AQOIAgGYAgKoAgO4Avfl8rwGwAIB0gIkMGU0YTA1MDEtNzU5YS00YWE1LWJjZWItNDViZmY5MzVjNGIz2AIE4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2025-05-22&checkout=2025-05-26&dest_id=-2167973&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&srpvid=4e3b503f601a0806&srepoch=1738322787&all_sr_blocks=202051801_325417391_2_2_0_601491&highlighted_blocks=202051801_325417391_2_2_0_601491&matching_block_id=202051801_325417391_2_2_0_601491&sr_pri_blocks=202051801_325417391_2_2_0_601491_127896&from=searchresults,"El Lisbon Five Stars Apartments Bica se encuentra en la zona histórica de Lisboa y ofrece apartamento reformados, elegantes y de buen gusto. El alojamiento está a 10 minutos a pie de Chiado y de la Cais do Sodré, que está frente al río y alberga bares y sitios para comer animados.

Todos los apartamentos tienen zonas amplias con mucha luz natural y decoración colorida. Cuentan con zona de estar con TV de pantalla plana, sofás y zona de comedor. Hay cocina moderna completa, baño privado con secador de pelo y WiFi gratuita.

Los huéspedes podrán preparar platos típicos portugueses en la cocina, que está equipada con electrodomésticos. Hay varios restaurantes y cafeterías a 5 minutos a pie. El establecimiento también se encuentra a 5 minutos a pie del famoso mercado de la Ribeira, que ofrece varios puestos de comida y sitios para comer.

El alojamiento también está situado a solo 350 metros del mirador de Santa Catarina, que disfruta de vistas impresionantes a la ciudad, y a 10 minutos a pie del Bairro Alto, la zona de ocio nocturno más conocida de la ciudad, donde encontrará varias tiendas y restaurantes. El Lisbon Five Stars Apartments Gaivotas 18 se halla a 1,5 km de Rossio, a 1,4 km de la Praça do Comércio y a 11 km del aeropuerto internacional Portela de Lisboa."
Lisbon Serviced Apartments - Baixa,1366,8.4,https://www.booking.com/hotel/pt/lisbon-serviced-apartments-baixa.es.html?label=gen173bo-1DCAEoggI46AdIClgDaEaIAQGYAQq4ARfIAQ_YAQPoAQH4AQOIAgGYAgKoAgO4Avfl8rwGwAIB0gIkMGU0YTA1MDEtNzU5YS00YWE1LWJjZWItNDViZmY5MzVjNGIz2AIE4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2025-05-22&checkout=2025-05-26&dest_id=-2167973&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&srpvid=4e3b503f601a0806&srepoch=1738322787&all_sr_blocks=35584701_123200811_0_0_0&highlighted_blocks=35584701_123200811_0_0_0&matching_block_id=35584701_123200811_0_0_0&sr_pri_blocks=35584701_123200811_0_0_0__136572&from=searchresults,"El Lisbon Serviced Apartments dispone de apartamentos modernos con aire acondicionado en el corazón de la Baixa Pombalina. También cuenta con ascensor y se encuentra a menos de 2 minutos a pie de la estación de metro de Baixa-Chiado.

Todos los apartamentos del Baixa son luminosos y cuentan con sala de estar amplia con sofás grandes y TV de pantalla plana vía satélite y cocina pequeña bien equipada con fogones y horno. Además, presentan una decoración luminosa en suaves tonos neutros, suelo de madera y ventanas grandes.

El Lisbon Serviced Apartments – Baixa está rodeado de restaurantes y tiendas y se encuentra a menos de 5 minutos a pie de la Praça da Figueira y del Rossio."
Palácio Camões - Lisbon Serviced Apartments,1478,8.1,https://www.booking.com/hotel/pt/pala-cio-camaues-lisbon-serviced-apartments.es.html?label=gen173bo-1DCAEoggI46AdIClgDaEaIAQGYAQq4ARfIAQ_YAQPoAQH4AQOIAgGYAgKoAgO4Avfl8rwGwAIB0gIkMGU0YTA1MDEtNzU5YS00YWE1LWJjZWItNDViZmY5MzVjNGIz2AIE4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2025-05-22&checkout=2025-05-26&dest_id=-2167973&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&srpvid=4e3b503f601a0806&srepoch=1738322787&all_sr_blocks=47463001_123200812_0_0_0&highlighted_blocks=47463001_123200812_0_0_0&matching_block_id=47463001_123200812_0_0_0&sr_pri_blocks=47463001_123200812_0_0_0__147830&from=searchresults,"El Palácio Camões, catalogado como monumento nacional, ofrece apartamentos independientes modernos con vistas al río Tajo. Están ubicados en el Barrio Alto, a 600 metros de la estación de metro de Baixa/Chiado.

Todos los apartamentos, que son accesibles mediante ascensor, disponen de cocina completamente equipada y algunos son de tipo dúplex. Los apartamentos con servicios de hotel presentan una decoración luminosa con suelo de parqué. Algunos también incluyen terraza amueblada y hay conexión Wi-Fi gratuita.

El establecimiento cuenta con una ubicación céntrica, próxima a restaurantes y bares y a las tiendas de moda del Barrio Alto.

El Palácio Camões - Lisboa Serviced Apartments se encuentra a 4 minutos a pie del mirador de Santa Catarina, con vistas panorámicas al río Tajo, mientras que el castillo de San Jorge está a 25 minutos a pie y ofrece algunas de las mejores vistas panorámicas de Lisboa.

El aeropuerto internacional de Lisboa se sitúa a 11 km de los apartamentos y está bien comunicado mediante transporte público. La estación de tren de Rossio se halla a 2 km y ofrece enlaces a Sintra, a un trayecto de 30 minutos en tren."
Cais Urban Lodge,874,8.8,https://www.booking.com/hotel/pt/cais-urban-lodge-lisboa12345.es.html?label=gen173bo-1DCAEoggI46AdIClgDaEaIAQGYAQq4ARfIAQ_YAQPoAQH4AQOIAgGYAgKoAgO4Avfl8rwGwAIB0gIkMGU0YTA1MDEtNzU5YS00YWE1LWJjZWItNDViZmY5MzVjNGIz2AIE4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2025-05-22&checkout=2025-05-26&dest_id=-2167973&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=popularity&srpvid=4e3b503f601a0806&srepoch=1738322787&all_sr_blocks=829919303_405997118_0_0_0&highlighted_blocks=829919303_405997118_0_0_0&matching_block_id=829919303_405997118_0_0_0&sr_pri_blocks=829919303_405997118_0_0_0__87440&from=searchresults,"Cais Urban Lodge ofrece vistas a la ciudad y wifi gratis. Ofrece alojamiento con una buena ubicación en el centro de Lisboa, a poca distancia de Plaza del Comercio, Plaza Rossio y Castillo de San Jorge.

Cada unidad dispone de baño privado, ducha, aire acondicionado, TV de pantalla plana y nevera. También hay una cocina equipada con lavavajillas, horno y microondas en algunas unidades

Teatro Nacional Doña María II está a 14 min a pie del alojamiento, y Miradouro da Senhora do Monte está a 3,6 km. El aeropuerto (Aeropuerto de Lisboa Humberto Delgado) está a 11 km."
