Name,Price,Rating,Hotel Link,Description
Varandas do Chiado - Coliving,324,8.2,https://www.booking.com/hotel/pt/varandas-de-lisboa-chiado.es.html?label=gen173bo-1DCAEoggI46AdIClgDaEaIAQGYAQq4ARfIAQ_YAQPoAQH4AQOIAgGYAgKoAgO4At3Z8rwGwAIB0gIkYTljZTRkZmItYTY4Ny00ZDQwLTkxNzYtODczOTQyMjM0NzE02AIE4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2025-05-29&checkout=2025-06-02&dest_id=-2167973&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=b3904d32975c0cad&srepoch=1738321238&all_sr_blocks=1111613105_407548410_2_0_0&highlighted_blocks=1111613105_407548410_2_0_0&matching_block_id=1111613105_407548410_2_0_0&sr_pri_blocks=1111613105_407548410_2_0_0__32350&from=searchresults,"Varandas do Chiado - Coliving está muy bien situado en el barrio de Misericordia, Lisboa, a 11 min a pie de Plaza Rossio, a 1,6 km de Castillo de San Jorge y a 12 min a pie de Teatro Nacional Doña María II. Este alojamiento ofrece cocina compartida y guardaequipaje, además de wifi gratis en todo el alojamiento. El alojamiento está a 1,7 km del centro de la ciudad y a 14 min a pie de Plaza del Comercio.

Miradouro da Senhora do Monte está a 3,3 km del alojamiento, y Monasterio de los Jerónimos está a 6,4 km. El aeropuerto (Aeropuerto de Lisboa Humberto Delgado) está a 10 km."
Lisbon Serviced Apartments - Liberdade,778,8.6,https://www.booking.com/hotel/pt/lisbon-serviced-apartments.es.html?label=gen173bo-1DCAEoggI46AdIClgDaEaIAQGYAQq4ARfIAQ_YAQPoAQH4AQOIAgGYAgKoAgO4At3Z8rwGwAIB0gIkYTljZTRkZmItYTY4Ny00ZDQwLTkxNzYtODczOTQyMjM0NzE02AIE4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2025-05-29&checkout=2025-06-02&dest_id=-2167973&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&srpvid=b3904d32975c0cad&srepoch=1738321238&all_sr_blocks=129899001_123200815_0_0_0&highlighted_blocks=129899001_123200815_0_0_0&matching_block_id=129899001_123200815_0_0_0&sr_pri_blocks=129899001_123200815_0_0_0__77802&from=searchresults,"El Lisbon Serviced Apartments - Avenida da Liberdade está situado en Lisboa y ofrece apartamentos modernos con acceso en ascensor y servicio diario de camarera de pisos. El establecimiento se encuentra a solo 150 metros de la estación de metro de Marques de Pombal y a 400 metros del parque Eduardo VII y la avenida de la Libertad.

Tanto los estudios como los apartamentos están insonorizados y disponen de aire acondicionado, conexión WiFi gratuita y TV con canales vía satélite. El baño es privado e incluye ducha, aseo, secador de pelo y artículos de aseo gratuitos. Además, las habitaciones ofrecen vistas a la ciudad.

La zona de cocina, totalmente equipada, cuenta con lavavajillas. En los alrededores hay varios bares y restaurantes. El supermercado más cercano se encuentra a 90 metros.

El centro comercial Amoreiras está situado a 1 km y el Barrio Alto, a 1,5 km.

Se ofrece aparcamiento privado, previa reserva y por un suplemento. El aeropuerto de Lisboa-Portela está situado a 6 km."
"Costa do Castelo Terrace, em Rua dos Lagares 8",543,8.3,https://www.booking.com/hotel/pt/costa-do-castelo-terrace.es.html?label=gen173bo-1DCAEoggI46AdIClgDaEaIAQGYAQq4ARfIAQ_YAQPoAQH4AQOIAgGYAgKoAgO4At3Z8rwGwAIB0gIkYTljZTRkZmItYTY4Ny00ZDQwLTkxNzYtODczOTQyMjM0NzE02AIE4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2025-05-29&checkout=2025-06-02&dest_id=-2167973&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=b3904d32975c0cad&srepoch=1738321238&all_sr_blocks=116341806_84523813_2_0_0_142577&highlighted_blocks=116341806_84523813_2_0_0_142577&matching_block_id=116341806_84523813_2_0_0_142577&sr_pri_blocks=116341806_84523813_2_0_0_142577_54276&from=searchresults,"Costa do Castelo Terrace, em Rua dos Lagares 8 está a 5 min a pie de Miradouro da Senhora do Monte y ofrece alojamiento con aire acondicionado, patio y wifi gratis.

El apartamento ofrece terraza, zona de estar, TV de pantalla plana por cable, cocina totalmente equipada con nevera y horno, y baño privado con ducha y artículos de aseo gratuitos. También hay microondas, fogones y tostadora, además de cafetera y hervidor.

Cerca del alojamiento hay puntos de interés como Plaza Rossio, Teatro Nacional Doña María II y Plaza del Comercio. El aeropuerto (Aeropuerto de Lisboa Humberto Delgado) está a 6 km."
Garam Lisboa,902,9.1,https://www.booking.com/hotel/pt/garam-lisboa.es.html?label=gen173bo-1DCAEoggI46AdIClgDaEaIAQGYAQq4ARfIAQ_YAQPoAQH4AQOIAgGYAgKoAgO4At3Z8rwGwAIB0gIkYTljZTRkZmItYTY4Ny00ZDQwLTkxNzYtODczOTQyMjM0NzE02AIE4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2025-05-29&checkout=2025-06-02&dest_id=-2167973&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=b3904d32975c0cad&srepoch=1738321238&all_sr_blocks=254119402_103952369_0_1_0&highlighted_blocks=254119402_103952369_0_1_0&matching_block_id=254119402_103952369_0_1_0&sr_pri_blocks=254119402_103952369_0_1_0__90220&from=searchresults,"Garam Lisboa está en Lisboa y ofrece alojamiento con jardín y wifi gratis a 4,1 km de Monasterio de los Jerónimos y a 4,6 km de Plaza Rossio.

Cada unidad tiene baño privado, ducha, aire acondicionado, TV de pantalla plana y minibar.

Hay opciones buffet o continentales de desayuno disponibles todas las mañanas en el bed and breakfast.

Teatro Nacional Doña María II está a 4,7 km del alojamiento, y Plaza del Comercio está a 5,1 km. El aeropuerto (Aeropuerto de Lisboa Humberto Delgado) está a 11 km, y el alojamiento ofrece servicio de traslado de pago para ir o volver del aeropuerto."
Lisbon Serviced Apartments - Santos,878,8.3,https://www.booking.com/hotel/pt/lisbon-serviced-apartments-santos.es.html?label=gen173bo-1DCAEoggI46AdIClgDaEaIAQGYAQq4ARfIAQ_YAQPoAQH4AQOIAgGYAgKoAgO4At3Z8rwGwAIB0gIkYTljZTRkZmItYTY4Ny00ZDQwLTkxNzYtODczOTQyMjM0NzE02AIE4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2025-05-29&checkout=2025-06-02&dest_id=-2167973&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=b3904d32975c0cad&srepoch=1738321238&all_sr_blocks=541746101_194018212_0_0_0&highlighted_blocks=541746101_194018212_0_0_0&matching_block_id=541746101_194018212_0_0_0&sr_pri_blocks=541746101_194018212_0_0_0__87800&from=searchresults,"Lisbon Serviced Apartments - Santos está en Lisboa, cerca de Plaza del Comercio, Plaza Rossio, y Teatro Nacional Doña María II, y ofrece wifi gratis.

El alojamiento tiene aire acondicionado, zona de cocina totalmente equipada, TV de pantalla plana y baño privado con ducha, artículos de aseo gratuitos y secador de pelo. También hay nevera, lavavajillas y horno, además de hervidor.

Castillo de San Jorge está a 3,1 km del alojamiento, y Miradouro da Senhora do Monte está a 4,3 km. El aeropuerto (Aeropuerto de Lisboa Humberto Delgado) está a 10 km, y el alojamiento ofrece servicio de traslado de pago para ir o volver del aeropuerto."
Chiado 44,795,8.7,https://www.booking.com/hotel/pt/chiado-44.es.html?label=gen173bo-1DCAEoggI46AdIClgDaEaIAQGYAQq4ARfIAQ_YAQPoAQH4AQOIAgGYAgKoAgO4At3Z8rwGwAIB0gIkYTljZTRkZmItYTY4Ny00ZDQwLTkxNzYtODczOTQyMjM0NzE02AIE4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2025-05-29&checkout=2025-06-02&dest_id=-2167973&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=b3904d32975c0cad&srepoch=1738321238&all_sr_blocks=195237504_0_2_0_0&highlighted_blocks=195237504_0_2_0_0&matching_block_id=195237504_0_2_0_0&sr_pri_blocks=195237504_0_2_0_0__79544&from=searchresults,"Chiado 44 se encuentra en Lisboa, a 9 min a pie de Plaza Rossio y a 1,5 km de Castillo de San Jorge, y ofrece alojamiento con wifi gratis en todo el alojamiento. El alojamiento está a 11 min a pie de Teatro Nacional Doña María II, a 3 km de Miradouro da Senhora do Monte y a 6,6 km de Monasterio de los Jerónimos. El alojamiento está a 1,6 km del centro de la ciudad y a 12 min a pie de Plaza del Comercio.

Todas las unidades del alojamiento tienen baño privado con ducha y artículos de aseo gratuitos, además de TV de pantalla plana y aire acondicionado. Algunas habitaciones también disponen de balcón. En el hostal o pensión, todas las habitaciones tienen ropa de cama y toallas.

Estádio da Luz está a 7,7 km del alojamiento, y Oceanario de Lisboa está a 9,2 km. El aeropuerto (Aeropuerto de Lisboa Humberto Delgado) está a 10 km, y el alojamiento ofrece servicio de traslado de pago para ir o volver del aeropuerto."
Lisbon Five Stars Apartments Bica,1072,8.5,https://www.booking.com/hotel/pt/apartamentos-joana-champalimaud.es.html?label=gen173bo-1DCAEoggI46AdIClgDaEaIAQGYAQq4ARfIAQ_YAQPoAQH4AQOIAgGYAgKoAgO4At3Z8rwGwAIB0gIkYTljZTRkZmItYTY4Ny00ZDQwLTkxNzYtODczOTQyMjM0NzE02AIE4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2025-05-29&checkout=2025-06-02&dest_id=-2167973&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&srpvid=b3904d32975c0cad&srepoch=1738321238&all_sr_blocks=0_0_2_0_0&highlighted_blocks=0_0_2_0_0&matching_block_id=0_0_2_0_0&sr_pri_blocks=0_0_2_0_0__107183&from=searchresults,"El Lisbon Five Stars Apartments Bica se encuentra en la zona histórica de Lisboa y ofrece apartamento reformados, elegantes y de buen gusto. El alojamiento está a 10 minutos a pie de Chiado y de la Cais do Sodré, que está frente al río y alberga bares y sitios para comer animados.

Todos los apartamentos tienen zonas amplias con mucha luz natural y decoración colorida. Cuentan con zona de estar con TV de pantalla plana, sofás y zona de comedor. Hay cocina moderna completa, baño privado con secador de pelo y WiFi gratuita.

Los huéspedes podrán preparar platos típicos portugueses en la cocina, que está equipada con electrodomésticos. Hay varios restaurantes y cafeterías a 5 minutos a pie. El establecimiento también se encuentra a 5 minutos a pie del famoso mercado de la Ribeira, que ofrece varios puestos de comida y sitios para comer.

El alojamiento también está situado a solo 350 metros del mirador de Santa Catarina, que disfruta de vistas impresionantes a la ciudad, y a 10 minutos a pie del Bairro Alto, la zona de ocio nocturno más conocida de la ciudad, donde encontrará varias tiendas y restaurantes. El Lisbon Five Stars Apartments Gaivotas 18 se halla a 1,5 km de Rossio, a 1,4 km de la Praça do Comércio y a 11 km del aeropuerto internacional Portela de Lisboa."
Alfama Right Point,681,8.7,https://www.booking.com/hotel/pt/alfama-right-point.es.html?label=gen173bo-1DCAEoggI46AdIClgDaEaIAQGYAQq4ARfIAQ_YAQPoAQH4AQOIAgGYAgKoAgO4At3Z8rwGwAIB0gIkYTljZTRkZmItYTY4Ny00ZDQwLTkxNzYtODczOTQyMjM0NzE02AIE4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2025-05-29&checkout=2025-06-02&dest_id=-2167973&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&srpvid=b3904d32975c0cad&srepoch=1738321238&all_sr_blocks=181102903_91400557_0_0_0&highlighted_blocks=181102903_91400557_0_0_0&matching_block_id=181102903_91400557_0_0_0&sr_pri_blocks=181102903_91400557_0_0_0__68050&from=searchresults,"El Alfama Right Point se encuentra en el centro histórico de Lisboa, a 4 minutos a pie del mirador de Portas do Sol Belvedere. El establecimiento ofrece WiFi gratuita y se encuentra en el barrio de Alfama, conocido por su fado.

Todos los apartamentos tienen cocina completa y baño privado con secador de pelo y toallas. La mayoría de los apartamentos tienen vistas al río.

La zona de los alrededores es famosa por sus casas y restaurantes de fado, donde los huéspedes pueden disfrutar de esta música mientras degustan delicias portuguesas.

Los apartamentos se hallan a 9 minutos a pie del castillo de San Jorge, a 5 minutos a pie del mirador de Santa Luzia Belvedere y a 6 km del aeropuerto internacional de Lisboa."
Lisbon Serviced Apartments - Baixa,1105,8.4,https://www.booking.com/hotel/pt/lisbon-serviced-apartments-baixa.es.html?label=gen173bo-1DCAEoggI46AdIClgDaEaIAQGYAQq4ARfIAQ_YAQPoAQH4AQOIAgGYAgKoAgO4At3Z8rwGwAIB0gIkYTljZTRkZmItYTY4Ny00ZDQwLTkxNzYtODczOTQyMjM0NzE02AIE4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2025-05-29&checkout=2025-06-02&dest_id=-2167973&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&srpvid=b3904d32975c0cad&srepoch=1738321238&all_sr_blocks=35584701_123200811_0_0_0&highlighted_blocks=35584701_123200811_0_0_0&matching_block_id=35584701_123200811_0_0_0&sr_pri_blocks=35584701_123200811_0_0_0__110527&from=searchresults,"El Lisbon Serviced Apartments dispone de apartamentos modernos con aire acondicionado en el corazón de la Baixa Pombalina. También cuenta con ascensor y se encuentra a menos de 2 minutos a pie de la estación de metro de Baixa-Chiado.

Todos los apartamentos del Baixa son luminosos y cuentan con sala de estar amplia con sofás grandes y TV de pantalla plana vía satélite y cocina pequeña bien equipada con fogones y horno. Además, presentan una decoración luminosa en suaves tonos neutros, suelo de madera y ventanas grandes.

El Lisbon Serviced Apartments – Baixa está rodeado de restaurantes y tiendas y se encuentra a menos de 5 minutos a pie de la Praça da Figueira y del Rossio."
Alvalade Palace,538,8.7,https://www.booking.com/hotel/pt/alvalade-palace.es.html?label=gen173bo-1DCAEoggI46AdIClgDaEaIAQGYAQq4ARfIAQ_YAQPoAQH4AQOIAgGYAgKoAgO4At3Z8rwGwAIB0gIkYTljZTRkZmItYTY4Ny00ZDQwLTkxNzYtODczOTQyMjM0NzE02AIE4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2025-05-29&checkout=2025-06-02&dest_id=-2167973&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=popularity&srpvid=b3904d32975c0cad&srepoch=1738321238&all_sr_blocks=699706902_288251673_2_0_0&highlighted_blocks=699706902_288251673_2_0_0&matching_block_id=699706902_288251673_2_0_0&sr_pri_blocks=699706902_288251673_2_0_0__53820&from=searchresults,"Alvalade Palace se encuentra en Lisboa, a 4,5 km de Estación de Oriente, y ofrece servicio de conserjería, habitaciones libres de humo, jardín, wifi gratis en todo el alojamiento y salón de uso común. El alojamiento está a 4,6 km de Oceanario de Lisboa, a 5,5 km de Plaza Rossio y a 5,5 km de Miradouro da Senhora do Monte. El hostal o pensión dispone de habitaciones familiares.

En el hostal o pensión, todas las habitaciones tienen escritorio, TV de pantalla plana, baño privado, ropa de cama y toallas. Alvalade Palace dispone de algunas unidades con vistas a la ciudad, y todas cuentan con terraza. Todas las unidades de este alojamiento disponen de aire acondicionado y armario.

El alojamiento ofrece desayuno buffet o continental.

Teatro Nacional Doña María II está a 5,6 km del alojamiento, y Plaza del Comercio está a 6,1 km. El aeropuerto (Aeropuerto de Lisboa Humberto Delgado) está a 2 km, y el alojamiento ofrece servicio de traslado de pago para ir o volver del aeropuerto."
